一	1
京	67,119,159
佯	46,140,97
依	46,401
侍	46,101,113
佳	46,99,99
使	46,363
佬	46,180,24
供	46,183,49
例	46,195,82
來	184,47,47
侃	46,119,172
佰	46,1,331
併	46,140,108
侈	46,135,135
佩	46,60,1,122
佻	46,55,252
侖	45,1,313
佾	46,48,382
侏	46,5,281
侑	46,23,238
佺	46,51,173
兔	63,309,6
兒	393,55
兕	319,55
兩	1,123,52,52
具	373,49
其	358,49
典	460
冽	69,195,82
函	17,276,80
刻	404,82
券	70,176,81
刷	142,122,82
刺	365,82
到	369,82
刮	126,119,82
制	388,82
剁	58,186,82
劾	404,83
劻	28,173,83
卒	67,47,47,20
協	20,83,83,83
卓	38,209,20
卑	468
卦	99,100,37
卷	70,176,76
卸	389,75
卹	5,305,75
取	357,84
叔	38,1,159,84
受	234,72,84
味	119,281
呵	119,119,32
咖	119,83,119
呸	119,191,1
咕	119,20,119
咀	119,299
呻	119,304
呷	119,303
咄	119,152,80
咒	119,119,57
咆	119,64,145
呼	119,334
咐	119,46,113
呱	119,332
呶	119,156,84
和	326,119
咚	119,130,71
呢	119,142,24
周	40,99,119
咋	119,324
命	45,1,119,75
咎	130,47,119
固	120,20,119
垃	100,339
坷	100,119,32
坪	100,95,70
坩	100,285
坡	100,349
坦	100,209,1
坤	100,304
坼	100,44,21,6;100,44,1,37
夜	67,46,130,6
奉	279,97
奇	106,32,119
奈	105,283
奄	105,315
奔	105,20,108
妾	339,155
妻	462
委	326,155
妹	156,281
妮	156,142,24
姑	156,20,119
姆	156,274
姐	156,299
姍	156,311
始	156,88,119
姓	156,322
姊	156,337
妯	156,302
妳	156,62,159
姒	156,297
姅	156,70,97
孟	162,305
孤	163,332
季	326,162
宗	139,283
定	139,1,207
官	139,321
宜	139,299
宙	139,302
宛	139,135,76
尚	161,39,119
屈	142,152,80
居	142,20,119
屆	142,99,80
岷	121,348
岡	39,140,121
岸	121,22,95
岩	121,291
岫	121,302
岱	46,114,121
岳	329,121
帘	139,50,122
帚	150,72,122
帖	122,38,119
帕	122,331
帛	331,122
帑	156,84,122
幸	99,140,20;99,70,95
庚	138,344
店	138,38,119
府	138,46,113
底	138,240,1
庖	138,64,145
延	5,206,157
弦	149,67,169
弧	149,332
弩	156,84,149
往	127,67,99;127,6,173
征	127,1,206
彿	127,347
彼	127,349
忝	1,105,258
忠	214,257
忽	245,257
念	45,1,17,257
忿	48,81,257
怏	259,308
怔	259,1,206
怯	259,99,88
怵	259,188,6
怖	259,23,122
怪	259,84,99
怕	259,331
怡	259,88,119
性	259,322
怩	259,142,24
怫	259,347
怛	259,209,1
或	202,119,1
戕	266,202
房	236,67,61
戾	236,192
所	236,232
